FullGeoName,FIPS Codes,County Name,State,Outbreak Date,Flock Type,Flock Size,State Count,Outbreaks,Counties
"OR, Umatilla",41059,Umatilla,Oregon,12-21-2022,WOAH Non-Poultry,110,1,3,1
"IL, St Clair",17163,St. Clair,Illinois,12-21-2022,WOAH Non-Poultry,60,0,1,1
"KS, Sedgwick",20173,Sedgwick,Kansas,12-20-2024,WOAH Non-Poultry,36,0,2,1
"MS, Greene",28041,Greene,Mississippi,12-20-2024,Commercial Broiler Breeder,26000,0,1,1
"MN, Chippewa",27023,Chippewa,Minnesota,12-20-2024,Commercial Turkey Meat Bird,54800,0,1,1
"MN, Houston",27055,Houston,Minnesota,12-20-2024,WOAH Non-Poultry,60,0,1,1
"AR, Craighead",05031,Craighead,Arkansas,12-20-2024,WOAH Non-Poultry,60,0,2,1
"IA, Mahaska",19123,Mahaska,Iowa,12-20-2023,WOAH Non-Poultry,30,1,1,1
"SD, Charles Mix",46023,Charles Mix,South Dakota,12-20-2023,Commercial Upland Gamebird Producer; WOAH Poultry; Commercial Turkey Meat Bird,606850,0,13,1
"OR, Benton",41003,Benton,Oregon,12-20-2023,WOAH Non-Poultry,50,0,1,1
"CO, Weld",08123,Weld,Colorado,12-20-2022,Commercial Table Egg Layer; WOAH Non-Poultry; Commercial Table Egg Pullets; WOAH Poultry,9594510,1,17,1
"SD, Hanson",46061,Hanson,South Dakota,12-20-2022,Commercial Turkey Meat Bird; WOAH Non-Poultry,255550,0,7,1
"ID, Gem",16045,Gem,Idaho,12-20-2022,WOAH Non-Poultry,80,0,1,1
"OH, Greene",39057,Greene,Ohio,12-19-2024,WOAH Poultry,110,0,1,1
"AL, Cullman",01043,Cullman,Alabama,12-19-2024,Commercial Broiler Production,116000,1,1,1
"WI, Kenosha",55059,Kenosha,Wisconsin,12-19-2024,WOAH Poultry,6,0,1,1
"OR, Deschutes",41017,Deschutes,Oregon,12-19-2024,WOAH Non-Poultry; WOAH Poultry,658,0,9,1
"OR, Coos",41011,Coos,Oregon,12-19-2024,WOAH Non-Poultry,60,0,2,1
"AL, Pickens",01107,Pickens,Alabama,12-19-2024,WOAH Non-Poultry,50,0,1,1
"MN, Stearns",27145,Stearns,Minnesota,12-19-2024,Commercial Turkey Meat Bird; WOAH Non-Poultry; Commercial Turkey Breeder Hens,794960,0,24,1
"MN, Fillmore",27045,Fillmore,Minnesota,12-19-2024,Commercial Turkey Meat Bird,28600,0,1,1
"AR, Jackson",05067,Jackson,Arkansas,12-19-2024,WOAH Non-Poultry,230,0,1,1
"KS, Mcpherson",20113,Mcpherson,Kansas,12-19-2023,WOAH Poultry; Commercial Turkey Breeder Hens,46900,0,3,1
"KS, Barton",20009,Barton,Kansas,12-19-2023,WOAH Non-Poultry,100,0,2,1
"WA, King",53033,King,Washington,12-19-2023,WOAH Poultry; WOAH Non-Poultry,589,0,9,1
"KS, Rice",20159,Rice,Kansas,12-19-2023,Commercial Table Egg Layer; WOAH Non-Poultry; Commercial Table Egg Pullets,1740100,0,4,1
"CA, Lassen",06035,Lassen,California,12-19-2023,WOAH Non-Poultry,90,0,1,1
"CA, Mendocino",06045,Mendocino,California,12-19-2022,WOAH Non-Poultry,20,0,1,1
"KS, Rooks",20163,Rooks,Kansas,12-18-2024,Commercial Raised for Release Upland Game Bird,5300,0,1,1
"LA, Jefferson Davis Parish",22053,Jefferson Davis,Louisiana,12-18-2024,WOAH Non-Poultry,30,1,1,1
"MO, Howard",29089,Howard,Missouri,12-18-2024,WOAH Non-Poultry,60,0,1,1
"KS, Doniphan",20043,Doniphan,Kansas,12-18-2024,Commercial Raised for Release Upland Game Bird; WOAH Non-Poultry,5730,0,2,1
"ND, Nelson",38063,Nelson,North Dakota,12-18-2024,WOAH Non-Poultry,110,0,2,1
"NE, Lancaster",31109,Lancaster,Nebraska,12-17-2024,WOAH Poultry,290,0,1,1
"IA, Worth",19195,Worth,Iowa,12-17-2024,Commercial Turkey Meat Bird,19500,0,1,1
"IA, O Brien",19141,O'brien,Iowa,12-17-2024,Commercial Table Egg Layer,593000,0,2,1
"SD, Bon Homme",46009,Bon Homme,South Dakota,12-17-2024,Commercial Turkey Meat Bird; WOAH Non-Poultry,144730,0,4,1
"IA, Monona",19133,Monona,Iowa,12-17-2024,WOAH Non-Poultry,30,0,1,1
"IA, Sioux",19167,Sioux,Iowa,12-17-2024,Commercial Table Egg Layer,12108000,0,5,1
"ID, Lemhi",16059,Lemhi,Idaho,12-17-2024,WOAH Non-Poultry,190,0,3,1
"NE, Sarpy",31153,Sarpy,Nebraska,12-16-2024,WOAH Non-Poultry,30,0,1,1
"FL, Duval",12031,Duval,Florida,12-16-2022,WOAH Non-Poultry,90,1,3,1
"MT, Flathead",30029,Flathead,Montana,12-16-2022,WOAH Non-Poultry,55,0,4,1
"MN, Waseca",27161,Waseca,Minnesota,12-15-2023,WOAH Non-Poultry; Commercial Turkey Meat Bird,63790,0,4,1
"ID, Latah",16057,Latah,Idaho,12-15-2023,WOAH Poultry,200,0,1,1
"OR, Polk",41053,Polk,Oregon,12-15-2022,WOAH Non-Poultry,200,0,4,1
"CA, Tulare",06107,Tulare,California,12-14-2024,Commercial Duck Meat Bird; Commercial Broiler Production; Commercial Duck Breeder; WOAH Non-Poultry,1801930,0,9,1
"LA, Bossier Parish",22015,Bossier,Louisiana,12-14-2024,WOAH Non-Poultry,40,0,1,1
"CA, Monterey",06053,Monterey,California,12-14-2024,Commercial Duck Breeder,28800,0,2,1
"OR, Clatsop",41007,Clatsop,Oregon,12-14-2023,WOAH Non-Poultry,30,0,1,1
"AR, Scott",05127,Scott,Arkansas,12-14-2023,WOAH Non-Poultry,180,0,1,1
"MN, Redwood",27127,Redwood,Minnesota,12-14-2022,WOAH Non-Poultry; Commercial Turkey Meat Bird,46140,0,4,1
"NE, Knox",31107,Knox,Nebraska,12-14-2022,WOAH Poultry; WOAH Non-Poultry; Commercial Table Egg Layer,2118170,0,3,1
"SD, Spink",46115,Spink,South Dakota,12-14-2022,WOAH Poultry; Commercial Turkey Meat Bird; WOAH Non-Poultry; Commercial Upland Gamebird Producer; Commercial Raised for Release Upland Game Bird,307310,0,12,1
"SD, Moody",46101,Moody,South Dakota,12-14-2022,Commercial Table Egg Layer; Commercial Turkey Meat Bird,1378800,0,2,1
"WA, Franklin",53021,Franklin,Washington,12-14-2022,Commercial Table Egg Layer,2163000,0,3,1
"WI, Barron",55005,Barron,Wisconsin,12-13-2024,Commercial Turkey Breeder Hens; Commercial Turkey Meat Bird; WOAH Non-Poultry,450950,0,10,1
"IL, Livingston",17105,Livingston,Illinois,12-13-2024,Commercial Turkey Breeder Hens,40500,0,1,1
"IN, Daviess",18027,Daviess,Indiana,12-13-2022,Commercial Turkey Meat Bird,24500,1,2,1
"OR, Linn",41043,Linn,Oregon,12-13-2022,WOAH Non-Poultry; Commercial Broiler Production,630850,0,4,1
"OR, Columbia",41009,Columbia,Oregon,12-13-2022,WOAH Non-Poultry,130,0,2,1
"IA, Sac",19161,Sac,Iowa,12-12-2024,Commercial Turkey Meat Bird,248200,0,6,1
"SD, Kingsbury",46077,Kingsbury,South Dakota,12-12-2024,Commercial Turkey Meat Bird; WOAH Non-Poultry; Commercial Table Egg Layer,228290,0,7,1
"AR, Pope",05115,Pope,Arkansas,12-12-2024,WOAH Non-Poultry,510,0,2,1
"NY, Dutchess",36027,Dutchess,New York,12-12-2023,WOAH Poultry; WOAH Non-Poultry,4440,1,3,1
"SD, Lake",46079,Lake,South Dakota,12-12-2023,Commercial Turkey Meat Bird; WOAH Non-Poultry,213020,0,4,1
"AL, Etowah",01055,Etowah,Alabama,12-12-2023,WOAH Non-Poultry,80,0,1,1
"MO, St Louis",29189,St. Louis,Missouri,12-12-2023,WOAH Non-Poultry,20,0,1,1
"IA, Buena Vista",19021,Buena Vista,Iowa,12-12-2022,Commercial Turkey Meat Bird; Commercial Table Egg Pullets; Commercial Table Egg Layer,6112100,0,11,1
"IA, Cherokee",19035,Cherokee,Iowa,12-12-2022,Commercial Turkey Meat Bird,343000,0,4,1
"MN, Wadena",27159,Wadena,Minnesota,12-12-2022,Commercial Turkey Meat Bird,594400,0,2,1
"IA, Ida",19093,Ida,Iowa,12-12-2022,Commercial Turkey Meat Bird,90000,0,1,1
"IA, Palo Alto",19147,Palo Alto,Iowa,12-11-2024,Commercial Turkey Meat Bird,31100,0,1,1
"SD, Brule",46015,Brule,South Dakota,12-11-2024,Commercial Turkey Meat Bird; WOAH Non-Poultry; Commercial Upland Gamebird Producer,151630,0,5,1
"MN, Olmsted",27109,Olmsted,Minnesota,12-11-2023,Commercial Turkey Breeder Hens; WOAH Non-Poultry,14520,0,2,1
"CO, La Plata",08067,La Plata,Colorado,12-10-2024,WOAH Non-Poultry; WOAH Poultry,120,0,4,1
"MO, Daviess",29061,Daviess,Missouri,12-10-2024,WOAH Poultry,19900,0,1,1
"MO, Cedar",29039,Cedar,Missouri,12-10-2024,WOAH Non-Poultry,20,0,1,1
"SD, Beadle",46005,Beadle,South Dakota,12-10-2024,Commercial Turkey Meat Bird,825000,0,16,1
"ID, Jefferson",16051,Jefferson,Idaho,12-10-2024,WOAH Non-Poultry,60,0,1,1
"ID, Franklin",16041,Franklin,Idaho,12-10-2024,WOAH Non-Poultry,40,0,1,1
"KS, Jewell",20089,Jewell,Kansas,12-10-2024,WOAH Non-Poultry,40,0,1,1
"CA, Kern",06029,Kern,California,12-09-2024,WOAH Poultry; Commercial Table Egg Layer,3222900,0,3,1
"SD, Hutchinson",46067,Hutchinson,South Dakota,12-09-2024,Commercial Turkey Meat Bird,209400,0,5,1
"AR, Lafayette",05073,Lafayette,Arkansas,12-09-2024,WOAH Non-Poultry,40,0,1,1
"CO, Prowers",08099,Prowers,Colorado,12-09-2022,Commercial Upland Gamebird Producer,11000,0,1,1
"NC, Onslow",37133,Onslow,North Carolina,12-09-2022,WOAH Non-Poultry,60,1,1,1
"MO, Osage",29151,Osage,Missouri,12-09-2022,Commercial Turkey Meat Bird,19700,0,1,1
"OR, Clackamas",41005,Clackamas,Oregon,12-09-2022,WOAH Non-Poultry; Commercial Table Egg Layer,150070,0,3,1
"IA, Mills",19129,Mills,Iowa,12-08-2023,WOAH Non-Poultry,10,0,1,1
"SD, Hamlin",46057,Hamlin,South Dakota,12-08-2022,Commercial Turkey Meat Bird; WOAH Non-Poultry,164340,0,5,1
"MN, Dodge",27039,Dodge,Minnesota,12-08-2022,Commercial Turkey Meat Bird; Commercial Breeder Operation,44100,0,3,1
"VT, Orleans",50019,Orleans,Vermont,12-07-2023,WOAH Non-Poultry,40,0,1,1
"MI, Montmorency",26119,Montmorency,Michigan,12-07-2023,WOAH Poultry,100,0,1,1
"AR, Carroll",05015,Carroll,Arkansas,12-07-2023,Commercial Turkey Meat Bird; Commercial Broiler Production,114500,0,2,1
"WY, Washakie",56043,Washakie,Wyoming,12-06-2024,WOAH Non-Poultry,20,0,1,1
"CO, Pitkin",08097,Pitkin,Colorado,12-06-2024,WOAH Non-Poultry; WOAH Poultry,80,0,2,1
"NE, Nemaha",31127,Nemaha,Nebraska,12-06-2024,Commercial Turkey Breeder Hens,12400,0,1,1
"MN, Becker",27005,Becker,Minnesota,12-06-2023,Commercial Breeder Operation; Commercial Turkey Breeder Hens; Commercial Turkey Breeder Toms; WOAH Non-Poultry; Commercial Turkey Meat Bird,128540,0,7,1
"VT, Lamoille",50015,Lamoille,Vermont,12-06-2022,WOAH Non-Poultry,50,0,1,1
"TX, Denton",48121,Denton,Texas,12-06-2022,WOAH Non-Poultry,40,0,1,1
"OK, Pawnee",40117,Pawnee,Oklahoma,12-06-2022,WOAH Non-Poultry,30,0,1,1
"CO, Larimer",08069,Larimer,Colorado,12-06-2022,WOAH Non-Poultry,132,0,6,1
"MO, Harrison",29081,Harrison,Missouri,12-06-2022,WOAH Non-Poultry,30,0,1,1
"KS, Shawnee",20177,Shawnee,Kansas,12-05-2023,WOAH Non-Poultry; WOAH Poultry,190,0,2,1
"MN, Otter Tail",27111,Otter Tail,Minnesota,12-05-2023,Commercial Turkey Meat Bird; Commercial Breeder Operation; Commercial Turkey Breeder Hens,324500,0,12,1
"SD, Clark",46025,Clark,South Dakota,12-05-2022,Commercial Turkey Meat Bird; WOAH Non-Poultry; Commercial Upland Gamebird Producer,316340,0,11,1
"AL, Lawrence",01079,Lawrence,Alabama,12-05-2022,WOAH Non-Poultry,460,0,1,1
"SD, Mcpherson",46089,Mcpherson,South Dakota,12-04-2023,Commercial Turkey Meat Bird; Commercial Turkey Breeder Hens,564700,0,11,1
"AR, Johnson",05071,Johnson,Arkansas,12-04-2023,Commercial Broiler Production,109000,0,1,1
"KS, Pottawatomie",20149,Pottawatomie,Kansas,12-04-2023,WOAH Non-Poultry,30,0,1,1
"CA, Fresno",06019,Fresno,California,12-03-2024,Commercial Broiler Production; Commercial Duck Breeder; Commercial Turkey Meat Bird; WOAH Non-Poultry; Commercial Broiler Breeder,1699900,0,19,1
"UT, Utah",49049,Utah,Utah,12-03-2024,WOAH Non-Poultry,367,1,4,1
"KS, Douglas",20045,Douglas,Kansas,12-03-2024,WOAH Non-Poultry,100,0,1,1
"ND, Bottineau",38009,Bottineau,North Dakota,12-02-2024,WOAH Poultry,160,0,2,1
"NC, Union",37179,Union,North Carolina,12-02-2022,WOAH Non-Poultry,59,0,2,1
"IA, Woodbury",19193,Woodbury,Iowa,12-01-2023,WOAH Non-Poultry,50,0,2,1
"ID, Canyon",16027,Canyon,Idaho,12-01-2023,WOAH Non-Poultry; WOAH Poultry,735,0,18,1
"MI, Bay",26017,Bay,Michigan,12-01-2023,WOAH Non-Poultry,60,0,1,1
"MO, Jackson",29095,Jackson,Missouri,12-01-2022,WOAH Non-Poultry,70,0,2,1
"AR, Arkansas",05001,Arkansas,Arkansas,12-01-2022,WOAH Non-Poultry,20,0,1,1
"SD, Brookings",46011,Brookings,South Dakota,12-01-2022,WOAH Non-Poultry,210,0,1,1
"CO, Bent",08011,Bent,Colorado,11-30-2023,WOAH Poultry,4100,0,1,1
"SD, Minnehaha",46099,Minnehaha,South Dakota,11-30-2023,WOAH Non-Poultry,80,0,1,1
"MT, Lewis And Clark",30049,Lewis And Clark,Montana,11-30-2023,WOAH Non-Poultry,6,0,1,1
"CA, San Benito",06069,San Benito,California,11-30-2023,Commercial Duck Breeder,5000,0,1,1
"IL, Grundy",17063,Grundy,Illinois,11-30-2022,WOAH Poultry,8800,0,1,1
"MN, Meeker",27093,Meeker,Minnesota,11-29-2024,Commercial Turkey Meat Bird; Commercial Table Egg Layer,2783600,0,17,1
"TN, Gibson",47053,Gibson,Tennessee,11-29-2024,Commercial Broiler Breeder,37700,0,1,1
"ND, Dickey",38021,Dickey,North Dakota,11-29-2023,WOAH Poultry; Commercial Turkey Meat Bird,179660,0,5,1
"CO, Morgan",08087,Morgan,Colorado,11-29-2023,WOAH Non-Poultry,100,0,2,1
"MN, Douglas",27041,Douglas,Minnesota,11-29-2023,Commercial Turkey Meat Bird,13500,0,1,1
"MD, Washington",24043,Washington,Maryland,11-29-2022,Commercial Table Egg Breeder,24600,1,1,1
"SD, Yankton",46135,Yankton,South Dakota,11-28-2023,Commercial Turkey Meat Bird; WOAH Non-Poultry,125150,0,3,1
"WI, Trempealeau",55121,Trempealeau,Wisconsin,11-28-2023,Commercial Turkey Meat Bird,123500,0,3,1
"ND, Emmons",38029,Emmons,North Dakota,11-28-2023,WOAH Non-Poultry,60,0,1,1
"NE, Colfax",31037,Colfax,Nebraska,11-28-2023,WOAH Non-Poultry,20,0,1,1
"UT, Iron",49021,Iron,Utah,11-28-2022,WOAH Poultry,3000,0,1,1
"MO, Webster",29225,Webster,Missouri,11-28-2022,Commercial Turkey Meat Bird; WOAH Poultry,24200,0,2,1
"SD, Faulk",46049,Faulk,South Dakota,11-27-2024,Commercial Turkey Meat Bird,203600,0,4,1
"ND, Ransom",38073,Ransom,North Dakota,11-27-2024,Commercial Turkey Meat Bird,128600,0,2,1
"UT, Sanpete",49039,Sanpete,Utah,11-27-2024,Commercial Turkey Meat Bird,895200,0,21,1
"OR, Union",41061,Union,Oregon,11-27-2024,WOAH Non-Poultry; WOAH Poultry,540,0,4,1
"MN, Brown",27015,Brown,Minnesota,11-27-2023,Commercial Turkey Breeder Hens; WOAH Non-Poultry; Commercial Turkey Meat Bird,100920,0,5,1
"AK, Matanuska-Susitna Borough",02170,Matanuska Susitna,Alaska,11-26-2024,WOAH Non-Poultry; WOAH Poultry,1350,1,10,1
"NE, Dixon",31051,Dixon,Nebraska,11-25-2022,Commercial Table Egg Layer,3446900,0,2,1
"SD, Turner",46125,Turner,South Dakota,11-25-2022,WOAH Non-Poultry,210,0,1,1
"NC, Durham",37063,Durham,North Carolina,11-25-2022,WOAH Non-Poultry,30,0,1,1
"MN, Freeborn",27047,Freeborn,Minnesota,11-24-2023,WOAH Non-Poultry,328,0,2,1
"MN, Kandiyohi",27067,Kandiyohi,Minnesota,11-24-2023,Commercial Turkey Breeder Hens; Commercial Breeder Operation; Commercial Turkey Meat Bird; Commercial Turkey Breeder Toms,415000,0,15,1
"TN, Davidson",47037,Davidson,Tennessee,11-23-2022,WOAH Non-Poultry,10,0,1,1
"FL, Broward",12011,Broward,Florida,11-23-2022,WOAH Non-Poultry; WOAH Poultry,525,0,8,1
"ND, Mchenry",38049,Mchenry,North Dakota,11-22-2024,WOAH Poultry,110,0,2,1
"UT, Salt Lake",49035,Salt Lake,Utah,11-21-2024,WOAH Non-Poultry,150,0,4,1
"CA, Madera",06039,Madera,California,11-21-2024,WOAH Non-Poultry; Commercial Duck Meat Bird,18610,0,2,1
"UT, Piute",49031,Piute,Utah,11-21-2024,Commercial Turkey Meat Bird,108000,0,3,1
"AZ, Maricopa",04013,Maricopa,Arizona,11-21-2024,WOAH Non-Poultry,490,1,1,1
"OK, Roger Mills",40129,Roger Mills,Oklahoma,11-21-2024,WOAH Non-Poultry,40,0,1,1
"OH, Union",39159,Union,Ohio,11-21-2023,Commercial Table Egg Layer,1348900,0,1,1
"GA, Sumter",13261,Sumter,Georgia,11-21-2023,Commercial Raised for Release Waterfowl,30000,1,1,1
"MN, Big Stone",27011,Big Stone,Minnesota,11-21-2023,Commercial Turkey Meat Bird,128000,0,2,1
"TX, Grimes",48185,Grimes,Texas,11-21-2023,WOAH Non-Poultry,60,0,1,1
"MD, Caroline",24011,Caroline,Maryland,11-21-2023,Commercial Broiler Production,529600,0,3,1
"ME, Washington",23029,Washington,Maine,11-21-2022,WOAH Non-Poultry,110,1,2,1
"SD, Day",46037,Day,South Dakota,11-20-2023,WOAH Poultry,140,0,2,1
"SD, Walworth",46129,Walworth,South Dakota,11-20-2023,WOAH Non-Poultry,0,0,1,1
"NM, San Juan",35045,San Juan,New Mexico,11-20-2023,WOAH Non-Poultry,20,1,1,1
"WI, Taylor",55119,Taylor,Wisconsin,11-20-2023,WOAH Non-Poultry,8,0,1,1
"MN, Swift",27151,Swift,Minnesota,11-20-2023,Commercial Turkey Meat Bird; WOAH Non-Poultry,642520,0,9,1
"IL, Henry",17073,Henry,Illinois,11-19-2024,WOAH Poultry,5600,0,1,1
"WA, Whatcom",53073,Whatcom,Washington,11-19-2024,WOAH Non-Poultry,120,0,2,1
"MN, Martin",27091,Martin,Minnesota,11-18-2024,WOAH Non-Poultry,70,0,2,1
"HI, Honolulu",15003,Honolulu,Hawaii,11-18-2024,WOAH Non-Poultry,79,1,2,1
"SD, Fall River",46047,Fall River,South Dakota,11-17-2023,WOAH Non-Poultry,80,0,1,1
"PA, Berks",42011,Berks,Pennsylvania,11-17-2022,WOAH Non-Poultry; Commercial Duck Meat Bird; Commercial Duck Breeder; Commercial Table Egg Layer; Commercial Table Egg Breeder,369740,0,11,1
"OR, Marion",41047,Marion,Oregon,11-16-2023,Commercial Broiler Production; WOAH Non-Poultry,123505,0,2,1
"IA, Benton",19011,Benton,Iowa,11-16-2023,WOAH Non-Poultry,90,0,1,1
"FL, Seminole",12117,Seminole,Florida,11-16-2022,WOAH Poultry; WOAH Non-Poultry,260,0,2,1
"FL, Hillsborough",12057,Hillsborough,Florida,11-16-2022,WOAH Non-Poultry; Live Bird Market,1650,0,6,1
"MI, Cass",26027,Cass,Michigan,11-15-2023,WOAH Non-Poultry,20,0,1,1
"ND, La Moure",38045,Lamoure,North Dakota,11-15-2023,Commercial Turkey Meat Bird; WOAH Non-Poultry,103410,0,4,1
"TN, Bledsoe",47007,Bledsoe,Tennessee,11-15-2022,Commercial Broiler Breeder,20900,0,1,1
"CA, Kings",06031,Kings,California,11-14-2024,WOAH Non-Poultry; Commercial Broiler Production,859808,0,6,1
"IA, Taylor",19173,Taylor,Iowa,11-14-2023,Commercial Table Egg Layer,2037000,0,2,1
"IA, Cerro Gordo",19033,Cerro Gordo,Iowa,11-14-2023,WOAH Non-Poultry,80,0,1,1
"IA, Kossuth",19109,Kossuth,Iowa,11-14-2023,WOAH Poultry; WOAH Non-Poultry,21204,0,3,1
"IA, Jones",19105,Jones,Iowa,11-14-2023,WOAH Non-Poultry,20,0,1,1
"MO, Jasper",29097,Jasper,Missouri,11-14-2023,Commercial Turkey Meat Bird,188500,0,5,1
"TX, Ellis",48139,Ellis,Texas,11-14-2023,WOAH Non-Poultry,50,0,1,1
"MS, Lowndes",28087,Lowndes,Mississippi,11-14-2022,WOAH Non-Poultry,8,0,1,1
"OR, Malheur",41045,Malheur,Oregon,11-13-2024,WOAH Non-Poultry,8,0,1,1
"AZ, Pinal",04021,Pinal,Arizona,11-13-2024,Commercial Table Egg Layer; WOAH Non-Poultry,1145830,0,3,1
