County,State,Outbreak Date,Flock Type,Flock Size
Tuolumne,California,9/1/2022,Commercial Turkey Meat Bird,30800
Washington,Wisconsin,9/2/2022,WOAH Poultry,120
Ashland,Ohio,9/3/2022,WOAH Non-Poultry,640
Defiance,Ohio,9/3/2022,Commercial Table Egg Layer,3748500
Morrison,Minnesota,9/7/2022,Commercial Turkey Meat Bird,50200
Meeker,Minnesota,9/8/2022,Commercial Turkey Meat Bird,34200
El Dorado,California,9/9/2022,WOAH Non-Poultry,150
Fresno,California,9/9/2022,Commercial Broiler Breeder,23900
Becker,Minnesota,9/9/2022,Commercial Turkey Breeder Hens,17100
Twin Falls,Idaho,9/12/2022,WOAH Non-Poultry,40
Stearns,Minnesota,9/13/2022,Commercial Turkey Meat Bird,69400
Freeborn,Minnesota,9/13/2022,WOAH Non-Poultry,320
Ingham,Michigan,9/13/2022,WOAH Poultry,20
Sanpete,Utah,9/13/2022,Commercial Turkey Meat Bird,5800
Brown,Minnesota,9/13/2022,Commercial Turkey Meat Bird,43700
Williams,Ohio,9/14/2022,WOAH Non-Poultry,60
Otter Tail,Minnesota,9/14/2022,Commercial Turkey Breeder Hens,7900
Meeker,Minnesota,9/14/2022,Commercial Turkey Meat Bird,61400
Allen,Ohio,9/14/2022,WOAH Non-Poultry,2
Isanti,Minnesota,9/14/2022,WOAH Non-Poultry,4
Fresno,California,9/15/2022,Commercial Broiler Breeder,15900
Bristol,Massachusetts,9/15/2022,WOAH Non-Poultry,50
Obion,Tennessee,9/15/2022,WOAH Poultry,130
Teton,Montana,9/15/2022,WOAH Poultry,2800
Summit,Ohio,9/15/2022,WOAH Non-Poultry,6
Pierce,Washington,9/16/2022,WOAH Non-Poultry,30
Dawes,Nebraska,9/19/2022,WOAH Non-Poultry,40
Macomb,Michigan,9/19/2022,WOAH Non-Poultry,40
Washington,Pennsylvania,9/20/2022,WOAH Poultry,1800
Clark,South Dakota,9/20/2022,Commercial Turkey Meat Bird,41700
Brown,Minnesota,9/20/2022,Commercial Turkey Meat Bird,43000
Clark,South Dakota,9/20/2022,Commercial Turkey Meat Bird,23900
Sanpete,Utah,9/20/2022,Commercial Turkey Meat Bird,73200
Fresno,California,9/20/2022,WOAH Non-Poultry,100
Stearns,Minnesota,9/20/2022,Commercial Turkey Meat Bird,64600
Roseau,Minnesota,9/21/2022,Commercial Turkey Meat Bird,116000
Gooding,Idaho,9/21/2022,Commercial Upland Gamebird Producer,9000
Sanpete,Utah,9/21/2022,Commercial Turkey Meat Bird,11100
Otter Tail,Minnesota,9/21/2022,Commercial Turkey Meat Bird,5900
Weld,Colorado,9/21/2022,Commercial Table Egg Layer,1150000
Kingsbury,South Dakota,9/22/2022,WOAH Non-Poultry,250
Todd,Minnesota,9/22/2022,WOAH Non-Poultry,50
Anne Arundel,Maryland,9/22/2022,WOAH Non-Poultry,4
Ward,North Dakota,9/22/2022,WOAH Poultry,60
Merrimack,New Hampshire,9/23/2022,WOAH Poultry,250
Kent,Delaware,9/24/2022,WOAH Non-Poultry,30
Dallas,Texas,9/24/2022,WOAH Non-Poultry,60
Kent,Delaware,9/24/2022,WOAH Non-Poultry,10
Mcpherson,South Dakota,9/24/2022,Commercial Turkey Meat Bird,56900
Sanpete,Utah,9/27/2022,Commercial Turkey Meat Bird,36700
Sanpete,Utah,9/27/2022,Commercial Turkey Meat Bird,127200
Goodhue,Minnesota,9/27/2022,WOAH Non-Poultry,80
Ransom,North Dakota,9/27/2022,Commercial Turkey Meat Bird,69100
Tillamook,Oregon,9/28/2022,WOAH Non-Poultry,10
Tillamook,Oregon,9/28/2022,WOAH Non-Poultry,40
Sanpete,Utah,9/28/2022,Commercial Turkey Meat Bird,24400
Racine,Wisconsin,9/28/2022,Commercial Duck Meat Bird,10000
Sanpete,Utah,9/29/2022,Commercial Turkey Meat Bird,19900
Mesa,Colorado,9/29/2022,WOAH Non-Poultry,40
Sanpete,Utah,9/29/2022,Commercial Turkey Meat Bird,19300
Dunn,Wisconsin,9/29/2022,Commercial Turkey Meat Bird,79500
York,Pennsylvania,9/29/2022,Commercial Turkey Meat Bird,25900
Lancaster,Pennsylvania,9/29/2022,WOAH Non-Poultry,180
Nelson,North Dakota,9/30/2022,WOAH Non-Poultry,50
Douglas,Oregon,9/30/2022,WOAH Non-Poultry,30
Calaveras,California,10/3/2022,WOAH Non-Poultry,20
Tuscola,Michigan,10/3/2022,WOAH Poultry,140
Portage,Ohio,10/3/2022,WOAH Non-Poultry,50
Cache,Utah,10/3/2022,WOAH Non-Poultry,320
Stanislaus,California,10/3/2022,Commercial Turkey Meat Bird,51000
Bernalillo,New Mexico,10/4/2022,WOAH Non-Poultry,40
York,Nebraska,10/4/2022,Commercial Upland Gamebird Producer,139500
Monterey,California,10/4/2022,Commercial Duck Breeder,15100
Box Butte,Nebraska,10/4/2022,WOAH Non-Poultry,100
Westmoreland,Pennsylvania,10/4/2022,WOAH Non-Poultry,160
Del Norte,California,10/4/2022,WOAH Poultry,43000
Monroe,Pennsylvania,10/5/2022,WOAH Non-Poultry,40
New Haven,Connecticut,10/5/2022,WOAH Non-Poultry,50
Matanuska Susitna,Alaska,10/5/2022,WOAH Poultry,10
Matanuska Susitna,Alaska,10/5/2022,WOAH Non-Poultry,40
Berks,Pennsylvania,10/5/2022,WOAH Non-Poultry,10
Glacier,Montana,10/5/2022,WOAH Non-Poultry,1100
Fayette,Kentucky,10/6/2022,WOAH Poultry,150
Brule,South Dakota,10/6/2022,Commercial Upland Gamebird Producer,500
Hampton City,Virginia,10/6/2022,WOAH Non-Poultry,40
Sanpete,Utah,10/7/2022,Commercial Turkey Meat Bird,26700
Johnson,Kansas,10/7/2022,WOAH Poultry,6
Sanpete,Utah,10/7/2022,Commercial Turkey Meat Bird,38900
Lapeer,Michigan,10/7/2022,WOAH Poultry,100
Pope,Minnesota,10/7/2022,WOAH Non-Poultry,30
Neosho,Kansas,10/7/2022,WOAH Poultry,2000
Madison,Arkansas,10/7/2022,Commercial Broiler Breeder Pullets,56000
Boulder,Colorado,10/7/2022,WOAH Poultry,600
Lapeer,Michigan,10/11/2022,WOAH Poultry,40
Logan,Kentucky,10/11/2022,WOAH Non-Poultry,190
Broward,Florida,10/11/2022,WOAH Non-Poultry,40
Gregory,South Dakota,10/11/2022,Commercial Upland Gamebird Producer,200
Martin,Florida,10/11/2022,WOAH Non-Poultry,50
Adams,Pennsylvania,10/11/2022,WOAH Poultry,2800
Hamlin,South Dakota,10/12/2022,WOAH Non-Poultry,20
Genesee,Michigan,10/12/2022,WOAH Non-Poultry,20
Weld,Colorado,10/12/2022,WOAH Non-Poultry,40
Sanpete,Utah,10/12/2022,Commercial Turkey Meat Bird,52800
Beadle,South Dakota,10/12/2022,Commercial Turkey Meat Bird,71400
Fremont,Wyoming,10/12/2022,WOAH Non-Poultry,30
Saint Croix,Wisconsin,10/13/2022,WOAH Non-Poultry,20
Stanislaus,California,10/13/2022,Commercial Turkey Meat Bird,54900
Sanpete,Utah,10/13/2022,Commercial Turkey Meat Bird,100000
Warren,New Jersey,10/13/2022,WOAH Non-Poultry,6
Matanuska Susitna,Alaska,10/14/2022,WOAH Poultry,1000
Pope,Arkansas,10/14/2022,WOAH Non-Poultry,470
Broward,Florida,10/14/2022,WOAH Poultry,300
La Plata,Colorado,10/14/2022,WOAH Non-Poultry,40
Larimer,Colorado,10/14/2022,WOAH Non-Poultry,20
Tulsa,Oklahoma,10/14/2022,WOAH Non-Poultry,30
Adams,Pennsylvania,10/17/2022,Commercial Turkey Meat Bird,15100
Nye,Nevada,10/17/2022,WOAH Poultry,1600
Traill,North Dakota,10/18/2022,WOAH Non-Poultry,90
Indian River,Florida,10/18/2022,WOAH Non-Poultry,300
Sanpete,Utah,10/18/2022,Commercial Turkey Meat Bird,100800
Osceola,Florida,10/18/2022,WOAH Non-Poultry,20
York,Nebraska,10/18/2022,Commercial Upland Gamebird Producer,34900
St. Lucie,Florida,10/18/2022,WOAH Non-Poultry,6
Jackson,Missouri,10/18/2022,WOAH Non-Poultry,40
Roberts,South Dakota,10/19/2022,Commercial Breeder Operation,3600
Rockwall,Texas,10/19/2022,WOAH Non-Poultry,50
Sanpete,Utah,10/19/2022,Commercial Turkey Meat Bird,9400
Shawnee,Kansas,10/19/2022,WOAH Poultry,120
Indian River,Florida,10/20/2022,WOAH Non-Poultry,60
Hill,Montana,10/20/2022,WOAH Non-Poultry,60
Virginia Beach City,Virginia,10/20/2022,WOAH Non-Poultry,10
Okeechobee,Florida,10/20/2022,WOAH Non-Poultry,2
Spink,South Dakota,10/20/2022,WOAH Non-Poultry,160
Newport,Rhode Island,10/20/2022,WOAH Non-Poultry,60
Valley,Idaho,10/20/2022,WOAH Non-Poultry,20
Dallas,Iowa,10/20/2022,WOAH Non-Poultry,50
Creek,Oklahoma,10/20/2022,WOAH Non-Poultry,50
Jefferson,Colorado,10/20/2022,WOAH Poultry,50
Cleveland,Oklahoma,10/21/2022,WOAH Non-Poultry,30
Itasca,Minnesota,10/21/2022,WOAH Non-Poultry,40
Wake,North Carolina,10/21/2022,WOAH Non-Poultry,170
Ocean,New Jersey,10/22/2022,WOAH Non-Poultry,90
Southampton,Virginia,10/22/2022,WOAH Non-Poultry,170
Grant,South Dakota,10/25/2022,WOAH Non-Poultry,50
Swift,Minnesota,10/25/2022,Commercial Turkey Meat Bird,33800
Martin,Florida,10/25/2022,WOAH Non-Poultry,30
Sanpete,Utah,10/25/2022,Commercial Turkey Meat Bird,3900
Indian River,Florida,10/25/2022,WOAH Non-Poultry,30
Lake,Florida,10/25/2022,WOAH Non-Poultry,9
Indian River,Florida,10/25/2022,WOAH Poultry,50
La Plata,Colorado,10/26/2022,WOAH Non-Poultry,20
Pasco,Florida,10/26/2022,WOAH Non-Poultry,40
Le Sueur,Minnesota,10/27/2022,Commercial Turkey Meat Bird,20100
Stearns,Minnesota,10/27/2022,Commercial Turkey Meat Bird,75000
Hillsborough,Florida,10/28/2022,WOAH Non-Poultry,40
Swift,Minnesota,10/31/2022,Commercial Turkey Meat Bird,45600
Wright,Iowa,10/31/2022,Commercial Table Egg Layer,1100000
Tipton,Tennessee,10/31/2022,WOAH Non-Poultry,90
Deschutes,Oregon,11/1/2022,WOAH Non-Poultry,8
Wayne,New York,11/1/2022,WOAH Non-Poultry,10
Granite,Montana,11/1/2022,WOAH Poultry,40
Gregory,South Dakota,11/1/2022,Commercial Upland Gamebird Producer,3000
Stearns,Minnesota,11/1/2022,Commercial Turkey Meat Bird,8500
Allegheny,Pennsylvania,11/2/2022,WOAH Non-Poultry,20
Waukesha,Wisconsin,11/2/2022,WOAH Non-Poultry,10
Bergen,New Jersey,11/2/2022,WOAH Non-Poultry,60
Yavapai,Arizona,11/2/2022,WOAH Non-Poultry,50
Yavapai,Arizona,11/3/2022,WOAH Non-Poultry,30
Lehigh,Pennsylvania,11/3/2022,Commercial Turkey Meat Bird,28500
Middlesex,Massachusetts,11/3/2022,WOAH Non-Poultry,20
Beaufort,South Carolina,11/3/2022,WOAH Non-Poultry,170
Yamhill,Oregon,11/3/2022,WOAH Poultry,150
Marathon,Wisconsin,11/3/2022,WOAH Non-Poultry,30
San Diego,California,11/3/2022,WOAH Poultry,150
Bottineau,North Dakota,11/3/2022,WOAH Poultry,130
Broward,Florida,11/3/2022,WOAH Non-Poultry,70
Sullivan,New York,11/4/2022,WOAH Non-Poultry,140
Dauphin,Pennsylvania,11/4/2022,WOAH Non-Poultry,130
Lawrence,Mississippi,11/4/2022,Commercial Broiler Breeder,34400
Lehigh,Pennsylvania,11/4/2022,Commercial Turkey Meat Bird,14500
Wright,Iowa,11/6/2022,Commercial Table Egg Layer,1022800
Butler,Ohio,11/7/2022,WOAH Poultry,150
Converse,Wyoming,11/7/2022,WOAH Non-Poultry,20
Gloucester,Virginia,11/7/2022,WOAH Non-Poultry,80
Jefferson,Wisconsin,11/7/2022,Commercial Upland Gamebird Producer,187900
Louisa,Iowa,11/8/2022,WOAH Non-Poultry,20
Lehigh,Pennsylvania,11/8/2022,Commercial Turkey Meat Bird,17400
Snohomish,Washington,11/8/2022,WOAH Non-Poultry,150
Lehigh,Pennsylvania,11/8/2022,Commercial Turkey Breeder Hens,7500
Lehigh,Pennsylvania,11/10/2022,Commercial Turkey Breeder Toms,160
Lehigh,Pennsylvania,11/10/2022,Commercial Turkey Meat Bird,18500
Ward,North Dakota,11/10/2022,WOAH Poultry,20
Mountrail,North Dakota,11/10/2022,WOAH Non-Poultry,40
Lapeer,Michigan,11/10/2022,WOAH Poultry,990
Queens,New York,11/12/2022,Live Bird Market,170
Lowndes,Mississippi,11/14/2022,WOAH Non-Poultry,8
Duval,Florida,11/15/2022,WOAH Non-Poultry,30
Bledsoe,Tennessee,11/15/2022,Commercial Broiler Breeder,20900
Otter Tail,Minnesota,11/15/2022,Commercial Turkey Meat Bird,28200
Seminole,Florida,11/16/2022,WOAH Poultry,100
Hillsborough,Florida,11/16/2022,WOAH Non-Poultry,100
Fresno,California,11/16/2022,Commercial Duck Breeder,34700
Berks,Pennsylvania,11/17/2022,WOAH Non-Poultry,30
Broward,Florida,11/17/2022,WOAH Non-Poultry,20
Union,North Carolina,11/18/2022,WOAH Non-Poultry,50
Utah,Utah,11/18/2022,WOAH Non-Poultry,270
Edmunds,South Dakota,11/21/2022,Commercial Turkey Meat Bird,34400
Washington,Maine,11/21/2022,WOAH Non-Poultry,90
Beadle,South Dakota,11/22/2022,Commercial Turkey Meat Bird,29200
Webster,Missouri,11/22/2022,WOAH Poultry,9100
Brule,South Dakota,11/23/2022,WOAH Non-Poultry,30
Davidson,Tennessee,11/23/2022,WOAH Non-Poultry,10
Columbia,Oregon,11/23/2022,WOAH Non-Poultry,30
Todd,Minnesota,11/23/2022,Commercial Turkey Meat Bird,44500
Faulk,South Dakota,11/23/2022,Commercial Turkey Meat Bird,49900
Broward,Florida,11/23/2022,WOAH Non-Poultry,10
Beadle,South Dakota,11/25/2022,Commercial Turkey Meat Bird,67900
Durham,North Carolina,11/25/2022,WOAH Non-Poultry,30
Dixon,Nebraska,11/25/2022,Commercial Table Egg Layer,1700000
Spink,South Dakota,11/25/2022,Commercial Turkey Meat Bird,55500
Beadle,South Dakota,11/25/2022,Commercial Turkey Meat Bird,50700
Turner,South Dakota,11/25/2022,WOAH Non-Poultry,210
Matanuska Susitna,Alaska,11/25/2022,WOAH Non-Poultry,40
Iron,Utah,11/28/2022,WOAH Poultry,3000
Webster,Missouri,11/28/2022,Commercial Turkey Meat Bird,15100
Hanson,South Dakota,11/29/2022,Commercial Turkey Meat Bird,71600
Spink,South Dakota,11/29/2022,Commercial Turkey Meat Bird,32900
Washington,Maryland,11/29/2022,Commercial Table Egg Breeder,24600
Hamlin,South Dakota,11/30/2022,Commercial Turkey Meat Bird,50000
Charles Mix,South Dakota,11/30/2022,Commercial Turkey Meat Bird,75100
Grundy,Illinois,11/30/2022,WOAH Poultry,8800
Brookings,South Dakota,12/1/2022,WOAH Non-Poultry,210
Arkansas,Arkansas,12/1/2022,WOAH Non-Poultry,20
Jackson,Missouri,12/1/2022,WOAH Non-Poultry,30
Lake,South Dakota,12/1/2022,Commercial Turkey Meat Bird,78000
Clark,South Dakota,12/2/2022,WOAH Non-Poultry,40
Knox,Nebraska,12/2/2022,WOAH Non-Poultry,10
Union,North Carolina,12/2/2022,WOAH Non-Poultry,9
Buena Vista,Iowa,12/5/2022,Commercial Turkey Meat Bird,40700
Charles Mix,South Dakota,12/5/2022,Commercial Turkey Meat Bird,34100
Clark,South Dakota,12/5/2022,Commercial Turkey Meat Bird,24300
Lawrence,Alabama,12/5/2022,WOAH Non-Poultry,460
Denton,Texas,12/6/2022,WOAH Non-Poultry,40
Pawnee,Oklahoma,12/6/2022,WOAH Non-Poultry,30
Harrison,Missouri,12/6/2022,WOAH Non-Poultry,30
Lamoille,Vermont,12/6/2022,WOAH Non-Poultry,50
Larimer,Colorado,12/6/2022,WOAH Non-Poultry,2
Cherokee,Iowa,12/7/2022,Commercial Turkey Meat Bird,105000
Kingsbury,South Dakota,12/7/2022,WOAH Non-Poultry,70
Sac,Iowa,12/7/2022,Commercial Turkey Meat Bird,40000
Dade,Missouri,12/8/2022,WOAH Non-Poultry,30
Hamlin,South Dakota,12/8/2022,Commercial Turkey Meat Bird,58100
Dodge,Minnesota,12/8/2022,Commercial Turkey Meat Bird,10000
Osage,Missouri,12/9/2022,Commercial Turkey Meat Bird,19700
Prowers,Colorado,12/9/2022,Commercial Upland Gamebird Producer,11000
Polk,Oregon,12/9/2022,WOAH Non-Poultry,70
Clackamas,Oregon,12/9/2022,WOAH Non-Poultry,60
Onslow,North Carolina,12/9/2022,WOAH Non-Poultry,60
Buena Vista,Iowa,12/12/2022,Commercial Turkey Meat Bird,51200
Ida,Iowa,12/12/2022,Commercial Turkey Meat Bird,90000
Hanson,South Dakota,12/12/2022,Commercial Turkey Meat Bird,23900
Cherokee,Iowa,12/12/2022,Commercial Turkey Meat Bird,50000
Wadena,Minnesota,12/12/2022,Commercial Turkey Meat Bird,298100
Sac,Iowa,12/12/2022,Commercial Turkey Meat Bird,50000
Columbia,Oregon,12/13/2022,WOAH Non-Poultry,100
Linn,Oregon,12/13/2022,WOAH Non-Poultry,20
Daviess,Indiana,12/13/2022,Commercial Turkey Meat Bird,11400
Spink,South Dakota,12/14/2022,WOAH Poultry,280
Moody,South Dakota,12/14/2022,Commercial Table Egg Layer,1332100
Knox,Nebraska,12/14/2022,WOAH Poultry,160
Weakley,Tennessee,12/14/2022,WOAH Poultry,37900
Franklin,Washington,12/14/2022,Commercial Table Egg Layer,1015500
Redwood,Minnesota,12/14/2022,WOAH Non-Poultry,40
Polk,Oregon,12/15/2022,WOAH Non-Poultry,20
Duval,Florida,12/16/2022,WOAH Non-Poultry,10
Weld,Colorado,12/16/2022,Commercial Table Egg Layer,1291000
Butte,California,12/16/2022,WOAH Non-Poultry,20
Flathead,Montana,12/16/2022,WOAH Non-Poultry,0
Mendocino,California,12/19/2022,WOAH Non-Poultry,20
Weld,Colorado,12/20/2022,Commercial Table Egg Layer,239700
Hanson,South Dakota,12/20/2022,Commercial Turkey Meat Bird,31800
Gem,Idaho,12/20/2022,WOAH Non-Poultry,80
Bates,Missouri,12/21/2022,WOAH Non-Poultry,30
Weakley,Tennessee,12/21/2022,WOAH Poultry,28800
St. Clair,Illinois,12/21/2022,WOAH Non-Poultry,60
Umatilla,Oregon,12/21/2022,WOAH Non-Poultry,10
Glenn,California,12/22/2022,Commercial Upland Gamebird Producer,32000
Weakley,Tennessee,12/28/2022,Commercial Broiler Breeder,43600
Elk,Kansas,12/28/2022,WOAH Non-Poultry,30
Weakley,Tennessee,12/28/2022,Commercial Broiler Breeder,19000
Pierce,Washington,12/29/2022,WOAH Non-Poultry,40
Snohomish,Washington,12/30/2022,WOAH Poultry,180
Sanilac,Michigan,12/30/2022,WOAH Non-Poultry,30
Johnson,Missouri,1/4/2023,WOAH Non-Poultry,30
Josephine,Oregon,1/4/2023,WOAH Non-Poultry,30
Anderson,Kansas,1/4/2023,Commercial Upland Gamebird Producer,8900
Codington,South Dakota,1/5/2023,WOAH Poultry,140
Thurston,Washington,1/6/2023,WOAH Non-Poultry,120
Weld,Colorado,1/6/2023,WOAH Non-Poultry,40
San Joaquin,California,1/9/2023,WOAH Non-Poultry,10
Sonoma,California,1/9/2023,WOAH Non-Poultry,6
Sonoma,California,1/9/2023,WOAH Non-Poultry,20
Scotts Bluff,Nebraska,1/9/2023,WOAH Non-Poultry,7
Cascade,Montana,1/10/2023,WOAH Non-Poultry,10
Douglas,Oregon,1/11/2023,WOAH Non-Poultry,1
Tehama,California,1/12/2023,WOAH Poultry,23700
Mitchell,Kansas,1/17/2023,Commercial Upland Gamebird Producer,6900
Licking,Ohio,1/18/2023,WOAH Non-Poultry,30
Lampasas,Texas,1/18/2023,WOAH Poultry,70
Rockingham,Virginia,1/19/2023,Commercial Turkey Meat Bird,25300
El Dorado,California,1/19/2023,WOAH Non-Poultry,20
Snohomish,Washington,1/19/2023,WOAH Non-Poultry,20
Larimer,Colorado,1/20/2023,WOAH Non-Poultry,70
Weakley,Tennessee,1/20/2023,Commercial Broiler Production,267800
Belknap,New Hampshire,1/23/2023,WOAH Non-Poultry,40
Suffolk,New York,1/25/2023,WOAH Non-Poultry,10
Buena Vista,Iowa,1/25/2023,Commercial Turkey Meat Bird,27700
Polk,Oregon,1/25/2023,WOAH Non-Poultry,20
Rowan,North Carolina,1/25/2023,WOAH Non-Poultry,2
Rockingham,Virginia,1/25/2023,Commercial Turkey Meat Bird,11100
Hancock,Maine,1/27/2023,WOAH Non-Poultry,40
Lancaster,Pennsylvania,2/1/2023,Commercial Duck Meat Bird,32800
Lancaster,Pennsylvania,2/1/2023,WOAH Poultry,2700
Placer,California,2/6/2023,WOAH Non-Poultry,30
Merced,California,2/6/2023,Commercial Duck Breeder,29100
San Joaquin,California,2/6/2023,WOAH Non-Poultry,8
Park,Wyoming,2/6/2023,WOAH Non-Poultry,10
Hancock,Maine,2/6/2023,WOAH Non-Poultry,30
Kennebec,Maine,2/6/2023,WOAH Non-Poultry,40
Leake,Mississippi,2/7/2023,Commercial Broiler Production,89800
Allegheny,Pennsylvania,2/7/2023,WOAH Non-Poultry,20
Mitchell,Kansas,2/8/2023,Commercial Upland Gamebird Producer,17000
Lancaster,Pennsylvania,2/8/2023,WOAH Poultry,20300
Carroll,Missouri,2/13/2023,WOAH Non-Poultry,9
Doniphan,Kansas,2/13/2023,WOAH Non-Poultry,30
Benton,Washington,2/14/2023,WOAH Non-Poultry,60
Hillsborough,Florida,2/14/2023,WOAH Non-Poultry,10
Columbia,New York,2/15/2023,WOAH Poultry,250
San Joaquin,California,2/17/2023,WOAH Non-Poultry,160
Tioga,Pennsylvania,2/17/2023,WOAH Non-Poultry,50
Copiah,Mississippi,2/17/2023,WOAH Poultry,50
Lancaster,Pennsylvania,2/21/2023,Commercial Broiler Production,97700
Lincoln,Nebraska,2/21/2023,WOAH Poultry,420
Lancaster,Pennsylvania,2/22/2023,WOAH Poultry,4200
Lancaster,Pennsylvania,2/23/2023,WOAH Poultry,2000
Alexandria City,Virginia,2/23/2023,Live Bird Market,800
Moffat,Colorado,2/23/2023,WOAH Non-Poultry,40
Wayne,Illinois,2/24/2023,Commercial Turkey Meat Bird,18200
Lancaster,Pennsylvania,2/24/2023,WOAH Poultry,4000
Chester,Pennsylvania,2/24/2023,WOAH Poultry,3400
Lancaster,Pennsylvania,2/27/2023,WOAH Poultry,4400
Miami-dade,Florida,2/28/2023,Live Bird Market,510
Douglas,Nevada,3/3/2023,WOAH Non-Poultry,20
Chester,Pennsylvania,3/3/2023,WOAH Poultry,5200
Lancaster,Pennsylvania,3/4/2023,Commercial Turkey Meat Bird,19600
Lancaster,Pennsylvania,3/4/2023,Commercial Duck Breeder,11300
Lancaster,Pennsylvania,3/4/2023,Commercial Turkey Meat Bird,26600
Chester,Pennsylvania,3/4/2023,WOAH Poultry,6900
Northumberland,Pennsylvania,3/4/2023,WOAH Poultry,680
Lancaster,Pennsylvania,3/6/2023,WOAH Poultry,6000
Lancaster,Pennsylvania,3/6/2023,WOAH Poultry,1800
Lancaster,Pennsylvania,3/6/2023,WOAH Poultry,310
Bingham,Idaho,3/6/2023,WOAH Non-Poultry,10
Bucks,Pennsylvania,3/6/2023,WOAH Poultry,1700
Rockingham,Virginia,3/7/2023,WOAH Non-Poultry,250
Lancaster,Pennsylvania,3/13/2023,WOAH Poultry,6000
Lancaster,Pennsylvania,3/14/2023,WOAH Poultry,3000
Eaton,Michigan,3/14/2023,WOAH Non-Poultry,20
Lancaster,Pennsylvania,3/14/2023,WOAH Poultry,2400
Lancaster,Pennsylvania,3/14/2023,WOAH Poultry,3000
Lancaster,Pennsylvania,3/14/2023,WOAH Poultry,2400
Lancaster,Pennsylvania,3/14/2023,WOAH Poultry,3900
Mifflin,Pennsylvania,3/15/2023,WOAH Non-Poultry,60
Chickasaw,Iowa,3/15/2023,WOAH Non-Poultry,50
Monroe,Mississippi,3/16/2023,WOAH Non-Poultry,30
Lancaster,Pennsylvania,3/16/2023,WOAH Poultry,2400
Maries,Missouri,3/16/2023,WOAH Non-Poultry,10
Chester,Pennsylvania,3/16/2023,Commercial Turkey Meat Bird,11800
Lancaster,Pennsylvania,3/16/2023,WOAH Poultry,1600
Lancaster,Pennsylvania,3/17/2023,WOAH Poultry,2500
Hillsborough,Florida,3/21/2023,Live Bird Market,340
Washington,New York,3/21/2023,WOAH Non-Poultry,50
Klamath,Oregon,3/22/2023,WOAH Non-Poultry,30
Spink,South Dakota,3/22/2023,Commercial Upland Gamebird Producer,570
Queens,New York,3/22/2023,Live Bird Market,140
Tompkins,New York,3/22/2023,WOAH Poultry,6500
Hale,Texas,3/22/2023,WOAH Non-Poultry,20
Lapeer,Michigan,3/23/2023,WOAH Poultry,950
Ellsworth,Kansas,3/24/2023,WOAH Non-Poultry,50
Arapahoe,Colorado,3/24/2023,WOAH Non-Poultry,10
Yuma,Colorado,3/28/2023,WOAH Poultry,310
Umatilla,Oregon,3/30/2023,WOAH Non-Poultry,50
Le Sueur,Minnesota,4/3/2023,WOAH Non-Poultry,100
Queens,New York,4/5/2023,Live Bird Market,1300
Mitchell,Kansas,4/10/2023,WOAH Non-Poultry,30
Pueblo,Colorado,4/12/2023,WOAH Non-Poultry,30
Putnam,New York,4/12/2023,WOAH Poultry,200
Modoc,California,4/12/2023,WOAH Non-Poultry,60
Sheridan,Nebraska,4/14/2023,WOAH Non-Poultry,10
Rosebud,Montana,4/14/2023,WOAH Non-Poultry,0
Bonneville,Idaho,4/17/2023,WOAH Non-Poultry,40
Putnam,New York,4/17/2023,WOAH Poultry,110
Moffat,Colorado,4/17/2023,WOAH Non-Poultry,80
Kings,New York,4/18/2023,Live Bird Market,1400
Beadle,South Dakota,4/19/2023,Commercial Turkey Meat Bird,75800
Dickey,North Dakota,4/19/2023,Commercial Turkey Meat Bird,58500
Routt,Colorado,4/24/2023,WOAH Non-Poultry,20
Posey,Indiana,5/5/2023,WOAH Non-Poultry,20
Nobles,Minnesota,5/11/2023,WOAH Non-Poultry,100
Rowan,North Carolina,5/18/2023,WOAH Non-Poultry,30
Phelps,Missouri,5/18/2023,WOAH Non-Poultry,80
Kings,New York,7/25/2023,Live Bird Market,570
Kings,New York,7/28/2023,Live Bird Market,490
Kings,New York,8/3/2023,Live Bird Market,800
Union,New Jersey,9/15/2023,Live Bird Market,520
Canyon,Idaho,10/3/2023,WOAH Non-Poultry,70
Jerauld,South Dakota,10/4/2023,Commercial Turkey Meat Bird,47300
Sanpete,Utah,10/6/2023,Commercial Turkey Meat Bird,134200
Sanpete,Utah,10/6/2023,Commercial Turkey Meat Bird,7600
Glacier,Montana,10/10/2023,WOAH Poultry,77100
Meeker,Minnesota,10/11/2023,Commercial Turkey Meat Bird,115000
Williams,North Dakota,10/12/2023,WOAH Non-Poultry,10
Weld,Colorado,10/12/2023,WOAH Non-Poultry,30
Meeker,Minnesota,10/13/2023,Commercial Turkey Meat Bird,71000
Flathead,Montana,10/13/2023,WOAH Non-Poultry,8
Golden Valley,North Dakota,10/13/2023,WOAH Non-Poultry,90
Carter,Oklahoma,10/16/2023,WOAH Non-Poultry,80
King,Washington,10/17/2023,WOAH Non-Poultry,10
Faulk,South Dakota,10/17/2023,Commercial Turkey Meat Bird,49700
Becker,Minnesota,10/17/2023,Commercial Turkey Breeder Toms,2700
Mcpherson,South Dakota,10/17/2023,Commercial Turkey Meat Bird,65000
Blue Earth,Minnesota,10/18/2023,Commercial Turkey Meat Bird,11500
Redwood,Minnesota,10/18/2023,Commercial Turkey Meat Bird,8900
Park,Montana,10/19/2023,WOAH Non-Poultry,3
