Price
2.005
2.046
2.52
2.863
2.707
2.936
3.116
2.902
3.419
3.589
4.25
4.823
4.211
3.446
3.27
2.666
2.043
2.065
2.072
2.138
2.507
2.522
2.996
2.992
2.864
2.699
2.715
3.08
3.821
3.37
3.649
4.146
4.953
